trial_count,FB,TS,correct_action,response,rt,stim,correct,con_ts,con_stim,curr_ts,switch
1,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,h,0.4049379825592041,1,False,False,False,0,False
2,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,j,0.45731115341186523,0,False,False,False,0,False
3,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.4011859893798828,1,True,True,True,1,True
4,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.48794102668762207,1,True,True,True,1,False
5,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,j,0.6185340881347656,0,False,False,False,0,True
6,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.5208330154418945,1,True,True,True,1,True
7,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,j,0.4182589054107666,0,False,False,False,0,True
8,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.5771780014038086,1,True,True,True,1,True
9,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,j,0.4033200740814209,0,False,False,False,0,True
10,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,h,0.7025008201599121,0,False,False,True,0,False
11,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.3760490417480469,0,True,True,True,1,True
12,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.6240730285644531,1,True,True,True,1,False
13,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.4011969566345215,0,True,True,True,1,False
14,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.448667049407959,0,True,True,True,1,False
15,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.3703889846801758,1,True,True,True,1,False
16,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.5864870548248291,0,True,True,True,1,False
17,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,k,0.40173912048339844,1,False,False,True,1,False
18,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,l,0.4795379638671875,0,False,False,True,1,False
19,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,k,0.5299580097198486,1,False,False,True,1,False
20,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,k,0.5890498161315918,1,False,False,True,1,False
21,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,k,0.6502180099487305,1,False,False,True,1,False
22,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,l,0.4351999759674072,0,False,False,True,1,False
23,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,j,0.7219638824462891,0,False,True,False,0,True
24,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,k,0.436521053314209,1,False,False,True,1,True
25,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,k,0.4294319152832031,0,False,False,False,1,False
26,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,k,0.35787391662597656,1,False,False,True,1,False
27,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.7346680164337158,1,True,True,True,0,True
28,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.8352789878845215,0,True,True,True,0,False
29,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.7486438751220703,0,True,True,True,0,False
30,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.5850949287414551,0,True,True,True,0,False
31,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.4853181838989258,1,True,True,True,0,False
32,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,k,0.5482690334320068,1,False,False,True,1,True
33,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,l,0.6491451263427734,1,False,True,False,1,False
34,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,l,0.46810102462768555,1,False,True,False,1,False
35,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,j,0.6758511066436768,0,False,False,False,0,True
36,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,j,0.8011050224304199,1,False,False,True,0,False
37,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,l,0.6881799697875977,1,False,True,False,1,True
38,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,k,0.7728691101074219,0,False,True,False,1,False
39,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,h,0.597646951675415,0,False,False,True,0,True
40,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,h,0.5275330543518066,0,False,False,True,0,False
41,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.6678240299224854,1,True,True,True,1,True
42,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,k,0.7013790607452393,0,False,True,False,1,False
43,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,k,0.6116600036621094,0,False,True,False,1,False
