trial_count,FB,TS,correct_action,response,rt,stim,correct,con_ts,con_stim,curr_ts,switch
1,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.5041258335113525,0,True,True,True,1,False
2,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.581995964050293,0,True,True,True,1,False
3,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,j,0.5964272022247314,1,False,False,False,0,True
4,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.682513952255249,1,True,True,True,1,True
5,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.4539759159088135,1,True,True,True,1,False
6,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.41425108909606934,0,True,True,True,1,False
7,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.41646695137023926,0,True,True,True,1,False
8,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.3872039318084717,1,True,True,True,1,False
9,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,h,0.7070112228393555,1,False,True,False,1,False
10,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.5319030284881592,0,True,True,True,1,False
11,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.5004079341888428,0,True,True,True,1,False
12,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.5787720680236816,0,True,True,True,1,False
13,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,j,0.4537208080291748,1,False,False,False,0,True
14,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,k,0.5894238948822021,1,False,False,True,0,False
15,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.35608816146850586,1,True,True,True,1,True
16,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,h,0.5092620849609375,0,False,False,True,1,False
17,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,j,0.5740668773651123,1,False,True,False,0,True
18,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,k,0.5610990524291992,0,False,True,False,0,False
19,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,h,0.41977405548095703,0,False,False,True,1,True
20,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,j,0.5489509105682373,1,False,True,False,0,True
21,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,k,0.4129140377044678,0,False,True,False,0,False
22,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.7400391101837158,0,True,True,True,0,False
23,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.8613839149475098,0,True,True,True,0,False
24,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,l,0.4769299030303955,1,False,False,True,1,True
25,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.3928499221801758,0,True,True,True,0,True
26,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.597681999206543,0,True,True,True,0,False
27,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.7257051467895508,1,True,True,True,0,False
